Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	MakeCost	ItemValue	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	MagicName1	Value1	Time1	MagicName2	Value2	Time2	MagicName3	Value3	Time3	ExtParam1	ExtParam2	ExtParam3	ExtParam4
Thái Thạch Cơ Hồi Huyết Đơn (tiểu)	Hồi Huyết Đơn (tiểu)	17	11	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít sinh lực.		0	1	1			1		80	medicine	gbmedicine	1	1	1	lifepotion_v	400	90										
Thái Thạch Cơ Hồi Huyết Đơn (trung)	Hồi Huyết Đơn (trung)	17	11	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều sinh lực.		0	1	1			1		90	medicine	gbmedicine	1	1	1	lifepotion_v	500	90										
Thái Thạch Cơ Hồi Huyết Đơn (đại)	Hồi Huyết Đơn (đại)	17	11	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều sinh lực.		0	1	1			1		100	medicine	gbmedicine	1	1	1	lifepotion_v	600	90										
Thái Thạch Cơ Hồi Nội Đơn (tiểu)	Hồi Nội Đơn (tiểu)	17	11	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít nội lực.		0	1	1			1		80	medicine	gbmedicine	1	1	1	manapotion_v	400	90										
Thái Thạch Cơ Hồi Nội Đơn (trung)	Hồi Nội Đơn (trung)	17	11	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều nội lực.		0	1	1			1		90	medicine	gbmedicine	1	1	1	manapotion_v	500	90										
Thái Thạch Cơ Hồi Nội Đơn (đại)	Hồi Nội Đơn (đại)	17	11	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều nội lực.		0	1	1			1		100	medicine	gbmedicine	1	1	1	manapotion_v	600	90										
Thái Thạch Cơ Càn Khôn Tạo Hóa Hoàn (tiểu)	Càn Khôn Tạo Hóa Hoàn (tiểu)	17	11	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ bình thường, có thể đồng thời hồi phục không ít sinh lực và nội lực.		0	1	1			1		80	medicine	gbmedicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Thái Thạch Cơ Càn Khôn Tạo Hóa Hoàn (trung)	Càn Khôn Tạo Hóa Hoàn (trung)	17	11	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Thuốc bổ cường hiệu, có thể đồng thời hồi phục nhiều sinh lực và nội lực.		0	1	1			1		90	medicine	gbmedicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Thái Thạch Cơ Càn Khôn Tạo Hóa Hoàn (đại)	Càn Khôn Tạo Hóa Hoàn (đại)	17	11	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc Thái Thạch Cơ Chiến Trường<color><enter>Đại bổ thần dược, có thể đồng thời hồi phục rất nhiều sinh lực và nội lực.		0	1	1			1		100	medicine	gbmedicine	1	1	1	lifepotion_v	360	90	manapotion_v	360	90							
Hồi Huyết Đơn Gia Tộc (tiểu)	Hồi Huyết Đơn (tiểu)	17	12	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít sinh lực.		0	1	1			1		60	medicine	kingame_medicine	1	1	1	lifepotion_v	400	90										
Hồi Huyết Đơn Gia Tộc (trung)	Hồi Huyết Đơn (trung)	17	12	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều nội lực.		0	1	1			1		90	medicine	kingame_medicine	1	1	1	lifepotion_v	500	90										
Hồi Huyết Đơn Gia Tộc (đại)	Hồi Huyết Đơn (đại)	17	12	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều sinh lực.		0	1	1			1		120	medicine	kingame_medicine	1	1	1	lifepotion_v	600	90										
Hồi Nội Đơn Gia Tộc (tiểu)	Hồi Nội Đơn (tiểu)	17	12	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ bình thường, có thể hồi phục không ít nội lực.		0	1	1			1		60	medicine	kingame_medicine	1	1	1	manapotion_v	400	90										
Hồi Nội Đơn Gia Tộc (trung)	Hồi Nội Đơn (trung)	17	12	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ cường hiệu, có thể hồi phục nhiều nội lực.		0	1	1			1		90	medicine	kingame_medicine	1	1	1	manapotion_v	500	90										
Hồi Nội Đơn Gia Tộc (đại)	Hồi Nội Đơn (đại)	17	12	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Đại bổ thần dược, có thể hồi phục rất nhiều nội lực.		0	1	1			1		120	medicine	kingame_medicine	1	1	1	manapotion_v	600	90										
Càn Khôn Tạo Hóa Hoàn Gia Tộc (tiểu)	Càn Khôn Tạo Hóa Hoàn (tiểu)	17	12	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ bình thường, có thể đồng thời hồi phục không ít sinh lực và nội lực.		0	1	1			1		60	medicine	kingame_medicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
Càn Khôn Tạo Hóa Hoàn Gia Tộc (trung)	Càn Khôn Tạo Hóa Hoàn (trung)	17	12	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Thuốc bổ cường hiệu, có thể đồng thời hồi phục nhiều sinh lực và nội lực.		0	1	1			1		90	medicine	kingame_medicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
Càn Khôn Tạo Hóa Hoàn Gia Tộc (đại)	Càn Khôn Tạo Hóa Hoàn (đại)	17	12	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>Thuốc ải gia tộc (cao)<color><enter>Đại bổ thần dược, có thể đồng thời hồi phục rất nhiều sinh lực và nội lực.		0	1	1			1		120	medicine	kingame_medicine	1	1	1	lifepotion_v	360	90	manapotion_v	360	90							
[Phúc lợi] Hồi Huyết Đơn (giản)	[Phúc lợi] Hồi Huyết Đơn (giản)	17	13	1	1	\image\item\other\medicine\fuliyao1_1.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục ít sinh lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		20	fulimedicine	fulimedicine	1	1	1	lifepotion_v	200	90										
[Phúc lợi] Hồi Huyết Đơn (tiểu)	[Phúc lợi] Hồi Huyết Đơn (tiểu)	17	13	1	2	\image\item\other\medicine\fuliyao1_2.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục nhiều sinh lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		50	fulimedicine	fulimedicine	1	1	1	lifepotion_v	300	90										
[Phúc lợi] Hồi Huyết Đơn (trung)	[Phúc lợi] Hồi Huyết Đơn (trung)	17	13	1	3	\image\item\other\medicine\fuliyao1_3.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục khá nhiều sinh lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		70	fulimedicine	fulimedicine	1	1	1	lifepotion_v	400	90										
[Phúc lợi] Hồi Huyết Đơn (đại)	[Phúc lợi] Hồi Huyết Đơn (đại)	17	13	1	4	\image\item\other\medicine\fuliyao1_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục rất nhiều sinh lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		90	fulimedicine	fulimedicine	1	1	1	lifepotion_v	500	90										
[Phúc lợi] Hồi Huyết Đơn (tinh)	[Phúc lợi] Hồi Huyết Đơn (tinh)	17	13	1	5	\image\item\other\medicine\fuliyao1_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục vô số sinh lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		100	fulimedicine	fulimedicine	1	1	1	lifepotion_v	650	90										
[Phúc lợi] Hồi Nội Đơn (giản)	[Phúc lợi] Hồi Nội Đơn (giản)	17	13	2	1	\image\item\other\medicine\fuliyao2_1.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục ít nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		20	fulimedicine	fulimedicine	1	1	1	manapotion_v	200	90										
[Phúc lợi] Hồi Nội Đơn (tiểu)	[Phúc lợi] Hồi Nội Đơn (tiểu)	17	13	2	2	\image\item\other\medicine\fuliyao2_2.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục nhiều nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		50	fulimedicine	fulimedicine	1	1	1	manapotion_v	300	90										
[Phúc lợi] Hồi Nội Đơn (trung)	[Phúc lợi] Hồi Nội Đơn (trung)	17	13	2	3	\image\item\other\medicine\fuliyao2_3.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục khá nhiều nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		70	fulimedicine	fulimedicine	1	1	1	manapotion_v	400	90										
[Phúc lợi] Hồi Nội Đơn (đại)	[Phúc lợi] Hồi Nội Đơn (đại)	17	13	2	4	\image\item\other\medicine\fuliyao2_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục rất nhiều nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		90	fulimedicine	fulimedicine	1	1	1	manapotion_v	500	90										
[Phúc lợi] Hồi Nội Đơn (tinh)	[Phúc lợi] Hồi Nội Đơn (tinh)	17	13	2	5	\image\item\other\medicine\fuliyao2_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục vô số nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		100	fulimedicine	fulimedicine	1	1	1	manapotion_v	650	90										
[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (giản)	[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (giản)	17	13	3	1	\image\item\other\medicine\fuliyao3_1.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục ít sinh lực và nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		20	fulimedicine	fulimedicine	1	1	1	lifepotion_v	120	90	manapotion_v	120	90							
[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (tiểu)	[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (tiểu)	17	13	3	2	\image\item\other\medicine\fuliyao3_2.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục nhiều sinh lực và nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		50	fulimedicine	fulimedicine	1	1	1	lifepotion_v	180	90	manapotion_v	180	90							
[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (trung)	[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (trung)	17	13	3	3	\image\item\other\medicine\fuliyao3_3.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục khá nhiều sinh lực và nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		70	fulimedicine	fulimedicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90							
[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (đại)	[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (đại)	17	13	3	4	\image\item\other\medicine\fuliyao3_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục rất nhiều sinh lực và nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		90	fulimedicine	fulimedicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90							
[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (tinh)	[Phúc lợi] Càn Khôn Tạo Hóa Hoàn (tinh)	17	13	3	5	\image\item\other\medicine\fuliyao3_4.spr		36	<color=gold>Dược phẩm phúc lợi<color><enter>Hồi phục vô số sinh lực và nội lực, có thể sử dụng khi tham gia Tiêu Dao Cốc, Tàng Bảo Đồ, Tống Kim, Quân doanh, Ải Gia Tộc cao cấp, Tranh đoạt lãnh thổ, [Thiên Bát Lý Lộ] Thiên Tầng, Hoàng Thành Tranh Bá.		0	1	1			1		100	fulimedicine	fulimedicine	1	1	1	lifepotion_v	390	90	manapotion_v	390	90							
Hồi Huyết Đơn-Tân Thủ	Hồi Huyết Đơn-Tân Thủ	17	14	1	1	\image\item\other\medicine\medicine_112_s.spr		36	Bổ dược thường, hồi phục ít sinh lực.<enter><color=green>Thích hợp dùng khi đánh quái, phó bản, PK...<color>		0	1	1			1		20	medicine	medicine	1	1	1	lifepotion_v	200	90										
