Id	Name	LocalName	ModuleType	ExParam	ParamList	ParamExplainList	ExampleDesc
84	SetTaskCurTime	设置任务变量为现在时间	default,npc_getaward,item_useitem,action_finishtask	3	task	任务变量	参数1:任务变量<enter>例子:SetTaskCurTime:51 (51变量设为当前时间秒数)
85	SetTaskMsg	设置公告(根据任务变量生成)	default,npc_getaward,item_useitem	3	int,message,task,task,task,task,task	类型,系统公告内容,任务变量参数1,任务变量参数2,任务变量参数3,任务变量参数4,任务变量参数5	参数1:公告类型(0为左边系统公告，1为Dialog，2为黑色中央字体公告)<enter>参数2:格式类型(format格式)<enter>参数3-参数7:foramt所需的参数任务变量<enter>例子:SetTaskMsg:0,"有%s个，已使用%s个。",51,52,0,0,0 
86	WriteLog	记录本地Log	default,npc_getaward,item_useitem,action_finishtask	3	string	日记内容	参数1:日记内容;
87	SetTaskBatch	设置活动系统任务变量批次	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	1,2,3	int	批次	参数1:批次,当该批次比存储的批次大时,子事件使用的任务变量都将清0重用;
88	AddSelect	增加确定描述选项	default,npc_getaward,item_useitem	1,3	message,message	描述对话内容,确定选项名	参数1:对话内容<enter>参数2:对话选项<enter>例子:AddSelect:"是否要确定领取?","我要确定领取"
89	CreateLink	建立该事件为链表选项	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	1,3	message	描述	参数1:描述;玩家选取选项后的提示的描述信息
90	OpenDuKinQizi	开启家族烤旗子经验翻倍	default,action_OpenTask	1,3	int	倍数(原经验*倍数)	参数1:倍数(原经验*倍数); 则填1则是原经验;
91	OpenIBReturen	开启奇珍阁消费返回20％绑金	default,action_OpenTask	1,3	int	类型	参数1:类型<enter>1-本月消费返还20%; <enter>2-本月前15000消费的金币返还15000金币,后消费的金币返还20%;
92	OpenJinTiaoFuLi	开启金条使用返还绑银	default,action_OpenTask	1,3	int	返还得到绑银百分比	参数1:百分比；小金条可得到200000绑银；大金条可得到2000000绑银，如填了50则，使用小金条返还100000绑银，使用大金条获得1000000绑银
93	OpenTongYinFuLi	开启帮会银锭使用返还绑金	default,action_OpenTask	1,3	int	返还得到银两百分比	参数1:百分比；小银锭可得200000银两；大银锭可得2000000银两；如填了1则，使用小银锭返还200绑金，使用大银锭获得2000绑金
94	GoToEvent	跳转到事件	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2,3	eventpartid	跳转事件Id	参数1:当该项>0时,则直接跳转到指定事件<enter>
95	GoToOtherEvent	设置链向的事件	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2,3	int,int	大事件编号,小事件编号	参数1:大事件编号<enter>参数2:小事件编号;<enter>使用于在大事件间跳转
96	SetLuaScriptNotMe	无me脚本执行事件	default,action_touchtask	3	luascript	自定义代码	Lua脚本代码<enter>返回值1: 0为执行完成,1为执行错误 <enter>返回值2:错误时提示信息
97	CheckLuaScriptNoMe	无me脚本检查事件	default,action_touchtask	2	luascript,eventpartid	自定义脚本代码,跳转事件Id	参数1:Lua脚本代码<enter>返回值1: 0为检查通过,1为检查不通过,2为检查通过但不往下执行下面参数<enter>返回值2:不通过时提示信息<enter>参数2:当该项>0时,则不满足条件时直接跳转到指定事件<enter>
98	CheckAddXiulianTime	检查修炼时间上限	default,npc_getaward,item_useitem,action_finishtask	2	int,message	增加的修炼时间,条件不满足提示	参数1:检查增加的修炼时间值是否超过上限<enter>例子：CheckAddXiulianTime 2(判断增加2小时修炼时间，总时间是否超出上限)
99	AddXiulianTime	增加修炼时间	default,npc_getaward,item_useitem,action_finishtask	3	int	增加的修炼时间	参数1:增加修炼时间值<enter>例子：AddXiulianTime 2(增加2小时修炼时间)
100	CheckRandom	检查几率	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2	int,int,message	概率值,概率最大值,条件不满足提示	参数1:概率临界值，参数2:概率最大值<enter>例子：CheckRandom 20, 100 (表示以20%的概率为判断条件)
101	CallRabbit	召唤财宝兔	default,npc_getaward,item_useitem,action_finishtask	3	string	描述	参数1:描述;财宝兔召唤
102	CheckFuliJingHuoWeiWang	检测优惠威望(优惠精活威望)	default,npc_getaward,item_useitem,action_finishtask	2	string	描述	参数1:描述;检查是否满足福利
103	DelTitle	删除称号	default,npc_getaward,item_useitem,action_finishtask	3	titlestring	称号类型	参数1:称号类别(称号大类,称号小类,称号详细类,称号参数（无填0）)<enter>例子:DelTitle:"3,2,1,0 "(获得称号,4个参数为称号Id值)
104	AddTongMoney	增加帮会建设资金	default,npc_getaward,item_useitem,action_finishtask	3	string,int	帮会名,帮会建设资金	增加帮会建设资金，玩家的帮会必须和给的帮会一样
105	AddSpeTitle	增加自定义称号	default,npc_getaward,item_useitem,action_finishtask	3	string,int,string	自定义称号,有效期(分钟),颜色(例如yellow)	例如：AddSpeTitle:"武林才子", 60, "yellow" (增加自定义称号，有效期60分钟，黄色)
106	DelSpeTitle	删除自定义称号	default,npc_getaward,item_useitem,action_finishtask	3	string	自定义称号	例如：DelSpeTitle:"武林才子"(删除玩家武林才子称号)
107	AddTaskRepute	增加声望	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	声望阵营,声望种类,增加值	例如：AddTaskRepute:1,1,100   (增加100声望)
108	DelBaiJuTime	减少白驹时间	default,npc_getaward,item_useitem,action_finishtask	3	int,int	白驹类型,减少时间(秒)	参数1:白驹类型(1-白驹丸，2-大白驹丸，3-强效白驹丸, 4-特效白驹丸)
109	AddKinRepute	增加江湖威望	default,npc_getaward,item_useitem,action_finishtask	3	int	增加江湖威望值	例如：AddKinRepute:100   (增加100江湖威望)
110	DelTaskRepute	减少声望	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	声望阵营,声望种类,减少值	例如：DelTaskRepute:1,1,100   (减少100声望)
111	CheckTimeFrame	检查时间轴	default,npc_getaward,item_useitem,action_finishtask	2	string,int,message	类型,开关(1开;0未开),不满足提示	OpenLevel69:开放69级<enter>OpenLevel79:开放79级<enter>OpenLevel89:开放89级<enter>OpenLevel99:开放99级<enter>OpenBoss55:开启55级世界boss（开服后5天）<enter>OpenBoss75:开启75级世界boss（开放79级后7天）<enter>OpenBoss95:开启95级世界boss（开放99级后7天）<enter>OpenLevel150:开放150级<enter>CloseBaiHuTangChu2:关闭白虎堂初级2（开放99级一周后）<enter>OpenOneAdvBaiHuTang:高级白虎堂只开一场（开放99级后120天）<enter>OpenOneFengXiangBattle:凤翔战场只开一场（开放150级后150天之后）<enter>OpenXoyoGameTask:逍遥谷任务开启（开放99级后7天）<enter>OpenBoss120:开启120级世界boss（开放150级后50天）<enter>OpenBaiHuTangGolden:开启黄金白虎堂（开放150级后60天）<enter>例子:CheckTimeFrame:"OpenLevel150",1,"150级还未开放不满足条件";
112	AddExBindCoinByPay	充值领取绑金	default,npc_getaward,item_useitem,action_finishtask	3	task,int,int,int	任务变量,返还最少充值额,返回充值额上限(0表示无限大),返还的百分率	一定区间内超过最小充值额部分每50元人民币返还一定百分率的绑金;
113	CheckInKin	是否在某个家族中	default,npc_getaward,item_useitem,action_finishtask	2	string,int,message	家族名,权限级别,不属于家族提示	判断是否在某个家族中，存在与该家族中则通过，否则不通过，多个家族可用&分隔;<enter>权限级别(向上兼容，如果填了权限3，则1和2也满足条件)：<enter>0.所有家族成员；<enter>1.族长；<enter>2.副族长；<enter>3.正式成员；<enter>4.记名成员；<enter>5.荣誉成员
114	CheckInTong	是否在某个帮会中	default,npc_getaward,item_useitem,action_finishtask	2	string,int,message	帮会名,权限级别,不属于帮会提示	判断是否在某个家族中，存在与该家族中则通过，否则不通过，多个家族可用&分隔;<enter权限级别(向上兼容，如果填了权限3，则1和2也满足条件)：<enter>0.所有家族成员；<enter>1.族长；<enter>2.副族长；<enter>3.正式成员；<enter>4.记名成员；<enter>5.荣誉成员
115	CheckHaveKin	是否有家族	default,npc_getaward,item_useitem,action_finishtask	2	int,message	权限级别,没有家族提示	判断玩家是否有家族，没有这不通过;<enter>权限级别(向上兼容，如果填了权限3，则1和2也满足条件)：<enter>0.所有家族成员；<enter>1.族长；<enter>2.副族长；<enter>3.正式成员；<enter>4.记名成员；<enter>5.荣誉成员
116	CheckHaveTong	是否有帮会	default,npc_getaward,item_useitem,action_finishtask	2	int,message	权限级别,没有帮会提示	判断玩家是否有帮会，没有这不通过;<enter>权限级别(向上兼容，如果填了权限3，则1和2也满足条件)：<enter>0.所有家族成员；<enter>1.族长；<enter>2.副族长；<enter>3.正式成员；<enter>4.记名成员；<enter>5.荣誉成员
117	AddExOpenFuDai	增加额外开福袋机会	default,npc_getaward,item_useitem,action_finishtask	3	int	增加次数	增加玩家开启黄金福袋的额外次数;
118	AddExOpenQiFu	增加额外祈福机会	default,npc_getaward,item_useitem,action_finishtask	3	int	增加次数	增加玩家祈福的额外次数;
119	MinusKinRepute	减少江湖威望	default,npc_getaward,item_useitem,action_finishtask	3	int	减少威望值	减少玩家的江湖威望，最少值为0;
120	SetBaiHuAwardTimes	增加白虎boss掉落倍数	default,action_OpenTask	1,3	int	增加的倍数	增加的倍数（1为默认值一次奖励,2为2倍的奖励）
121	SetSongJinAwardTimes	增加宋金奖励倍数	default,action_OpenTask	1,3	int	增加的倍数	增加的倍数（1为默认值一次奖励,2为2倍的奖励）
122	CheckLoginTimeSpace	检查与上一次登陆时间间隔N小时以上	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2	int	需要检测的间隔小时数	需要检测的间隔小时数
123	CheckISCanGetRepute	检查是不是激活了江湖威望的领取	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2	message	没有激活的提示	没有激活的提示
124	SetLotterData	设置充值促销抽奖的日期和名字	default,action_OpenTask	1,3	string	充值促销的名字	参数1:促销名字，例：一月充值
125	GiveBazhuStatuary	获得树立霸主之印雕像资格	default,npc_getaward,item_useitem,action_finishtask	1,3	int	地方值索引	参数1:地方值的索引值，例如1表示临安
126	AddHonor	增加荣誉点	default,npc_getaward,item_useitem,action_finishtask	3	int,int,int	荣誉值的大类,荣誉值的小类,增加的荣誉值的数值	例如：3，0，100联赛荣誉100点
127	SetTaskOneDay	设置任务变量每天一次(已自检)	default,npc_getaward,item_useitem,action_finishtask	3	task	任务变量	每天一次本事件，任务变量记录天数
128	CheckDisDayTime	检查每天时间点内	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	int,int,message	时间点(时分),时间点(时分),不在时间点内提示信息	例如：CheckDisDayTime:1000,1130,"必须在10:00到11:30这段时间内才能参加活动。"  (表示10点至11:30这段时间内满足需求，闭区间，包括10点和11:30,不满足条件是提示不在时间点内)
129	ItemGId	使用物品	default,item_useitem	1	itemstring,time,int,int,message	物品GDPL,有效期(分钟),进度条使用(秒),成功使用后删除,Tip脚本	参数1:物品类别，查看各item表的GDPL列逗号分隔，如18,1,1,1<enter>参数2:物品有效期，2种格式（格式1:相对时间(分钟)，格式2:绝对时间,清空点击修改选择）<enter>参数3:使用物品启动进度条时间(秒)<enter>参数4:成功使用后是否删除物品(1删除，0不删除)<enter>参数5:GetTip脚本，返还显示字符串，格式return szTip<enter>例子:Item:"18,1,1,1",1440,10,1 (物品1级玄晶触发,使用和生成物品,"18,1,1,1"为物品GDPL,1440为物品有效期,10为使用物品启动进度条时间,1为成功使用物品后删除物品)
130	CheckNpcLevel	检查npc等级	default，boss_dropitem,action_finishtask	2	int,int	比较的等级,类型（0小于等于,1大于等于，2等于）	参数1：满足条件的npc等级 参数2：检查的类型值（0为要求npc等级小于等于要求等级;1为要求npc等级大于等于要求等级；2为要求npc等级等于要求等级）
131	AddGlbBindMoney	增加跨服专用绑银	default,npc_getaward,item_useitem,action_finishtask	3	int	增加跨服专用绑银值	参数1：跨服专用绑银
132	CheckLastLoginDate	检查上一次登陆时间段	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2	int,int,int,message	开始日期(YYYYMMDDHHmm),结束日期(YYYYMMDDHHmm),是否在区间内(0在;1不再),不满足条件提示	例如：CheckLastLoginDate:201006080000,201006100000,0,"必须上次登陆在2010年6月8日到6月10日之间的老玩家才能参加活动。"
133	CheckLinkTaskCount	检查义军任务是否达到次数	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask,action_touchtask	2	int,message	要求次数,没达到次数提示	例如：CheckLinkTaskCount:50,"必须参加任务达到50次的玩家才能参加活动。"
134	CostMoney	消耗银两	default,npc_getaward,item_useitem,action_finishtask	3	int	银两值	参数1：银两
135	CostBindMoney	消耗绑定银两	default,npc_getaward,item_useitem,action_finishtask	3	int	绑定银两值	参数1：绑定银两
136	CostBindCoin	消耗绑定金币	default,npc_getaward,item_useitem,action_finishtask	3	int	绑定金币值	参数1：绑定金币
137	CoinBuyItem	购买奇珍阁道具	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	buy_item对应的id值	参数1：对应表中的id
138	AddBuyItemSum	增加奇珍阁道具物品次数	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int,int	增加的数目,buy_item对应的id值	参数1：增加奇珍阁道具物品次数，参数2：对应表中的id
139	AddRandomAwards	获得随机奖励	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int,string,string,string,string,string,string,string,string,string	总概率,奖励参数,奖励参数,奖励参数,奖励参数,奖励参数,奖励参数,奖励参数,奖励参数,奖励参数	参数1：总概率（0默认为1000000）<enter>奖励参数如下：<enter>1.概率<enter>2.类型(1物品,2银两,3绑银,4绑金,5精力,6活力,7固定经验,8基准经验,9技能buff)<enter>3.类型1：物品G,物品D,物品P,物品L,物品数量,是否绑定,有效期,物品五行,强化等级<enter>类型2-8：数值<enter>类型9：技能Id,技能等级,技能有效期<enter>4.公告内容（默认玩家名为前缀）<enter>5.好友公告(1有公告)<enter>6.家族帮会公告(1有公告)<enter>7.世界公告(1有公告)<enter>例如：<enter>5000,1,"18,1,1,1,10,0,0,-1,0","获得10个不绑定1玄",1,1,1<enter>5000,2,"1000","获得1000两",1,1,1
140	CheckPayIsAction	判断是否激活本月资格	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	int	激活类型(1.充值活动, 2.充值活动或在线活动，3.江湖威望激活)	激活类型(1.充值活动, 2.充值活动或在线活动，3.江湖威望激活)
141	SetPayAction	激活本月资格	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	激活类型(1.充值活动, 2.充值活动或在线活动，3.江湖威望激活)	激活类型(1.充值活动, 2.充值活动或在线活动，3.江湖威望激活)
142	AddBuffType	获得增益buff类型	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	int	buff类型	buff类型<enter>1. 7级套buff(7级磨刀护甲五行,30点幸运,打怪经验70%);<enter>2.未使用
143	CheckTaskDateMsg	任务变量大于等于(时间提示)	default,npc_getaward,item_useitem,action_finishtask	2	task,int,message,eventpartid	任务变量,比较的值,大于等于时提示,跳转事件Id	参数1:任务变量<enter>参数2:对比值(必须小于该值才能满足条件)<enter>参数3:提示信息，可带一个参数，默认为日期时间<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckTask:51,1,"你在%s已经领取过奖励了。" (51号任务变量大于等于1则返回提示信息：你在<color=yellow>xxxx年xx月xx日 xx时xx分<color>已经领取过奖励了。)
144	AddExMKPUse	增加额外使用小精气散次数	default,npc_getaward,item_useitem,action_finishtask	3	int	增加次数	增加玩家额外使用小精气散次数;
145	AddExGTPUse	增加额外使用小活气散次数	default,npc_getaward,item_useitem,action_finishtask	3	int	增加次数	增加玩家额外使用小活气散次数;
146	AddOfflineTime	增加额外离线时间	default,npc_getaward,item_useitem,action_finishtask	3	int	离线时间(分钟)	增加玩家额外离线时间（根据离线时间可使用白驹获得经验）;
147	CheckNpcType	检查npc类型	default，boss_dropitem,action_finishtask	2	int	比较的类型（0普通小怪，1精英，2首领）	参数1：满足条件的npc类型
148	CheckNpcSeries	检查npc五行	default，boss_dropitem,action_finishtask	2	int	比较的类型（1金2木3水4火5土）	参数1：满足条件的npc五行
149	SetLotteryDataEx	设置抽奖的日期和名字	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	3	string,int,int	名字,开始日期,结束日期	参数1:本月充值的名字; <enter>参数2:本月充值的开始时间;<enter>参数3:本月充值的结束时间
151	SetKinGameCoinAwardTimes	设置家族奖励翻倍	default,action_OpenTask	1,3	int	铜钱倍数	设置家族奖励翻倍
152	SetXoyoCardTimes	设置逍遥谷卡片的掉落率	default,action_OpenTask	1,3	int	掉落率的倍数	设置逍遥谷卡片的掉落率
