Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	StrInitMin	StrInitMax	StrAptMin	StrAptMax	DexInitMin	DexInitMax	DexAptMin	DexAptMax	VitInitMin	VitInitMax	VitAptMin	VitAptMax	EngInitMin	EngInitMax	EngAptMin	EngAptMax	SkillID1	SkillID2	SkillID3	SkillID4	UnLockInterval	FightPower
Mật tịch Phụ Trợ Nga My (trung)	Mật tịch Phụ Trợ Nga My (trung)	1	1	14	10	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1208					2
Mật tịch Kiếm Thúy Yên (trung)	Mật tịch Kiếm Thúy Yên (trung)	1	1	14	11	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1209					2
Mật tịch Đao Thúy Yên (trung)	Mật tịch Đao Thúy Yên (trung)	1	1	14	12	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1210					2
Mật tịch Chưởng Cái Bang (trung)	Mật tịch Chưởng Cái Bang (trung)	1	1	14	13	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1211					2
Mật tịch Côn Cái Bang (trung)	Mật tịch Côn Cái Bang (trung)	1	1	14	14	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											1200	1800	120	180	480	720	48	72	720	1080	72	108	0	0	0	0	1212					2
Mật tịch Chiến Nhẫn (trung)	Mật tịch Chiến Nhẫn (trung)	1	1	14	15	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											720	1080	72	108	480	720	48	72	1200	1800	120	180	0	0	0	0	1213					2
Mật tịch Ma Nhẫn (trung)	Mật tịch Ma Nhẫn (trung)	1	1	14	16	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1214					2
Mật tịch Khí Võ Đang (trung)	Mật tịch Khí Võ Đang (trung)	1	1	14	17	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1215					2
Mật tịch Kiếm Võ Đang (trung)	Mật tịch Kiếm Võ Đang (trung)	1	1	14	18	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	240	360	24	36	240	360	24	36	960	1440	96	144	1216					2
Mật tịch Đao Côn Lôn (trung)	Mật tịch Đao Côn Lôn (trung)	1	1	14	19	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											1200	1800	120	180	480	720	48	72	720	1080	72	108	0	0	0	0	1217					2
Mật tịch Kiếm Côn Lôn (trung)	Mật tịch Kiếm Côn Lôn (trung)	1	1	14	20	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1218					2
Mật tịch Chùy Minh Giáo (trung)	Mật tịch Chùy Minh Giáo (trung)	1	1	14	21	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1219					2
Mật tịch Kiếm Minh Giáo (trung)	Mật tịch Kiếm Minh Giáo (trung)	1	1	14	22	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1220					2
Mật tịch Chỉ Đoàn Thị (trung)	Mật tịch Chỉ Đoàn Thị (trung)	1	1	14	23	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1221					2
Mật tịch Khí Đoàn Thị (trung)	Mật tịch Khí Đoàn Thị (trung)	1	1	14	24	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1222					2
Mật tịch Kiếm Cổ Mộ (trung)	Mật tịch Kiếm Cổ Mộ (trung)	1	1	14	25	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	720	1080	72	108	0	0	0	0	720	1080	72	108	2815					2
Mật tịch Châm Cổ Mộ (trung)	Mật tịch Châm Cổ Mộ (trung)	1	1	14	26	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	720	1080	72	108	480	720	48	72	1200	1800	120	180	2826					2
Mật tịch Đao Thiên Vương (trung)	Mật tịch Thương Thiên Vương (trung)	1	1	14	27	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	720	1080	72	108	720	1080	72	108	0	0	0	0	2992					2
Mật tịch Quyền Thiếu Lâm (trung)	Mật tịch Chưởng Cái Bang (trung)	1	1	14	28	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	3002					2
Mật tịch Phi Tiêu Đường Môn (trung)	Mật tịch Hãm Tĩnh Đường Môn (trung)	1	1	14	29	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Tiền Trang<color>-Tiệm Hồn Thạch của các tân thủ thôn hoặc thành.		0		50000			1		book																																																																									5	70																																																											0	0	0	0	1200	1800	120	180	1200	1800	120	180	0	0	0	0	3009					2
Mật tịch Đao Thiếu Lâm (cao)	Mật tịch Đao Thiếu Lâm (cao)	1	1	14	1	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1241					3
Mật tịch Côn Thiếu Lâm (cao)	Mật tịch Côn Thiếu Lâm (cao)	1	1	14	2	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1440	2160	72	108	1440	2160	72	108	1920	2880	96	144	0	0	0	0	1242					3
Mật tịch Thương Thiên Vương (cao)	Mật tịch Thương Thiên Vương (cao)	1	1	14	3	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	1440	2160	72	108	1440	2160	72	108	0	0	0	0	1243					3
Mật tịch Chùy Thiên Vương (cao)	Mật tịch Chùy Thiên Vương (cao)	1	1	14	4	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	480	720	24	36	2400	3600	120	180	0	0	0	0	1244					3
Mật tịch Hãm Tĩnh Đường Môn (cao)	Mật tịch Hãm Tĩnh Đường Môn (cao)	1	1	14	5	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	2400	3600	120	180	2400	3600	120	180	0	0	0	0	1245					3
Mật tịch Tụ Tiễn Đường Môn (cao)	Mật tịch Tụ Tiễn Đường Môn (cao)	1	1	14	6	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	2400	3600	120	180	2400	3600	120	180	0	0	0	0	1246					3
Mật tịch Đao Ngũ Độc (cao)	Mật tịch Đao Ngũ Độc (cao)	1	1	14	7	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1247					3
Mật tịch Chưởng Ngũ Độc (cao)	Mật tịch Chưởng Ngũ Độc (cao)	1	1	14	8	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1248					3
Mật tịch Chưởng Nga My (cao)	Mật tịch Chưởng Nga My (cao)	1	1	14	9	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1249					3
Mật tịch Phụ Trợ Nga My (cao)	Mật tịch Phụ Trợ Nga My (cao)	1	1	14	10	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1250					3
Mật tịch Kiếm Thúy Yên (cao)	Mật tịch Kiếm Thúy Yên (cao)	1	1	14	11	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1251					3
Mật tịch Đao Thúy Yên (cao)	Mật tịch Đao Thúy Yên (cao)	1	1	14	12	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1252					3
Mật tịch Chưởng Cái Bang (cao)	Mật tịch Chưởng Cái Bang (cao)	1	1	14	13	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1253					3
Mật tịch Côn Cái Bang (cao)	Mật tịch Côn Cái Bang (cao)	1	1	14	14	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1254					3
Mật tịch Chiến Nhẫn (cao)	Mật tịch Chiến Nhẫn (cao)	1	1	14	15	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1440	2160	72	108	960	1440	48	72	2400	3600	120	180	0	0	0	0	1255					3
Mật tịch Ma Nhẫn (cao)	Mật tịch Ma Nhẫn (cao)	1	1	14	16	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1256					3
Mật tịch Khí Võ Đang (cao)	Mật tịch Khí Võ Đang (cao)	1	1	14	17	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1257					3
Mật tịch Kiếm Võ Đang (cao)	Mật tịch Kiếm Võ Đang (cao)	1	1	14	18	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	480	720	24	36	480	720	24	36	1920	2880	96	144	1258					3
Mật tịch Đao Côn Lôn (cao)	Mật tịch Đao Côn Lôn (cao)	1	1	14	19	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1259					3
Mật tịch Kiếm Côn Lôn (cao)	Mật tịch Kiếm Côn Lôn (cao)	1	1	14	20	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1260					3
Mật tịch Chùy Minh Giáo (cao)	Mật tịch Chùy Minh Giáo (cao)	1	1	14	21	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1261					3
Mật tịch Kiếm Minh Giáo (cao)	Mật tịch Kiếm Minh Giáo (cao)	1	1	14	22	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	Sau khi đeo mật tịch chưa đạt cấp tối đa, đánh quái trong trạng thái Tu Luyện Châu có thể tu luyện kỹ năng trong mật tịch.<enter>Có bán ở <color=gold>Long Ngũ Thái Gia<color>-Tạp Hóa Du Long của các tân thủ thôn.		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1262					3
