Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
67	Phục Ngưu Sơn Quân Doanh	bingqipulaoban	559	Công dục thiện kỳ sự, tất tiên lợi kỳ khí. Ta không thể thay ngươi lên sa trường, nhưng có thể mài sắc đao thương của ngươi, hãy xem thử coi có món gì cần không!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Không mua nữa"""						
68		heixinshangren_lv1		Quên đem thuốc và thực phẩm à? Đừng lo, đừng lo…...Bổn đại gia có đủ cả! 	"""<color=gold>[Bạc khóa]<color> Dược phẩm"",""Dialog:OpenShop"",14,7"	"""Dược phẩm"",""Dialog:OpenShop"",14,1"	"""Thực phẩm"",""Dialog:OpenShop"",21,1"	"""Không mua nữa"""								
69		heixinshangren_lv4		Chào các vị thiếu hiệp, lại gặp nhau nữa rồi, quả có duyên thật! Ta có công thức chế tạo vài món bảo vật, thiếu hiệp thích thì cứ lấy đi.	"""Để ta xem có món gì tốt"",""Dialog:OpenShop"",130,1"	"""Đổi ngân phiếu"",""LinkTask:ShowBillGiftDialog"""	"""Đến sai nơi rồi"""									
70		heixinshangren_lv5		Lại gặp nhau rồi, xem ra hai ta quả có duyên thật! Công thức chế tạo mấy món bảo vật này ta bán rẻ cho thiếu hiệp vậy.	"""Để ta xem có món gì tốt"",""Dialog:OpenShop"",131,1"	"""Đổi ngân phiếu"",""LinkTask:ShowBillGiftDialog"""	"""Đến sai nơi rồi"""									
71		yangying		Lỗi lầm và sự kỳ vọng của người cha, tương lai của Thiên Vương Bang, gánh nặng trên vai Thiết Tâm là quá nhiều. Chẳng lẽ đây là ý trời sao?												
72		yangtiexin		Hận thù mãi không thể hóa giải, ta đã là bang chủ thì phải dốc toàn lực đưa Thiên Vương Bang lên đỉnh cao.												
73		jishuban		Đệ tử trong bang nể mặt nên gọi ta là tổng quản. Mọi việc trong bang đều nằm trong tay ta!												
74		peiyifei1		Con người ta thích nhất là kết giao bằng hữu thiên hạ.												
75		qiuzhishui		Hiện nay còn rất nhiều người nghèo khổ thiếu thốn, chút chia sẻ của bạn sẽ giúp được rất nhiều người.												
76		chengdufenduodizi		Lúc trước thương xuyên ăn ớt cảm thấy đầu óc sảng khoái thậm chí ngứa ngáy, bây giờ có muốn ăn cũng không dễ!												
77		huaziliquan		Ngươi tưởng ta đang đùa sao? Chẳng lẽ trông ta không giống mệnh quan triều đình?												
78		hantuozhou		Chúng ta lại gặp nhau rồi! Ngươi đã nhiều lần giúp ta thóat nạn, đúng là đại ân nhân của ta. Mà ta lại chưa từng chính thức cảm ơn ngươi, hôm khác chúng ta sẽ uống một bữa cho đã.												
79		luxiaopin		"Ngũ độc" trong truyền thuyết gồm 5 loại động vật: rắn, rết, bọ cạp, thằn lằn và cóc, cách dùng độc đa dạng												
80		jinzhuangbangzhong		Ta luôn canh giữ nơi đây cũng xem như là thuyền phu rồi!												
81		hantuozhouhuwei		Hàn Đại nhân là một người rất nhân từ, một lòng vì sơn hà xã tắc!												
82		yufu		Nếu bố thí cá cho người khác thì chi bằng chỉ họ cách đánh cá. Câu nói này thật có ý nghĩa.												
83		shixuanyuan1		30 năm trước, bang chủ Cái Bang lấy đại nghĩa dân tộc làm đầu trong lúc khó khăn phất cờ khởi nghĩa. Cái Bang ta tổn thất nghiêm trọng nên nhận được sự tôn trọng của rất nhiều võ lâm hào kiệt.												
84		luofeng		Ta chính là đệ tử đời thứ 8 của Cái Bang, ngươi còn trẻ như thế đã gánh vác trọng trách, thật tốt nếu ngươi gia nhập Cái Bang.												
85		kongtongpaimenren		Vài năm gần đây thực lực Cái Bang có sự tiến bộ ta cần phải học tập.												
86		qingchengpaimenren		Vốn dĩ gia sư muốn đích thân đến đây nhưng vì có việc bận trong giáo nên phái ta đem lễ vật đến Cái Bang.												
87		pilihuoleijiamenren		E rằng thực lực Cái Bang kém xa lúc xưa.												
88		gaibangzhishidizi		Người đông phức tạp, phiền ngươi trông coi nơi này giúp ta.												
89		luchenzhou		Hiệp khách hành tẩu giang hồ dựa vào chữ nghĩa. Giờ đây anh em Cái Bang đối xử với ta rất tốt, ta có gia nhập bang cũng không thẹn với lòng.												
90		zhifadizi		Đảm bảo lễ cúng tế cử hành một cách thuận lợi là trách nhiệm của ta.												
91		shoushandizi		Ám hiệu. Xin lỗi, ám hiệu hôm nay không phải là dưa hấu mở cửa!												
92		gongshaozhen		Trưởng lão Thu Vân có ơn với ta, ơn nghĩa này ta có báo đáp cả đời cũng không hết.												
93		lindongshan		Chuyện vui thì lấy ra chia sẻ với anh em nhưng khi phạm sai lầm phải chịu sự trừng phạt thì không ai gánh vác giúp ngươi đâu. Cho nên đừng đi lầm đường.												
94		lieren		Biết chỗ nào có chuồng chó không? Người thợ săn mà không có một con chó săn thì coi sao được? Ta đã đã mất Vượng Tài rồi…..hu hu hu												
95		jinguojiangling		Đại Kim Quốc đã giúp chúng ta thu xếp chuyện nhà ổn thỏa, giờ đã không còn chuyện vướng bận, chúng ta phải hết lòng vì gia tộc Hoàn Nhan đợi ngày đoạt lấy Nam Tống thì có thể về nhà đoàn tụ.												
96		cailaotou		Lễ vật của các phái này tặng Cái Bang hình như không hậu hĩnh lắm!												
97		shensuanliugui		Thiên hạ sắp có biến, muôn dân chịu khổ.												
98		busheren		Nơi này khí hậu ẩm ướt, sinh vật rất nhiều. Ta suýt lỡ hẹn với các loại rắn rết nơi đây rồi! Rắn rết ta không sợ chỉ sợ lòng người nham hiểm khó đoán.												
99		jizhu1		Ở ngoài đây nói chuyện ta luôn cảm giác như có ai đó nghe lén, chẳng lẽ là ma sao?												
100		yinfang		Đã lâu không gặp, ta lại hái được một số kỳ dược có thể tăng công lực. Ở đây có 2 cây ta chỉ đưa giáo chủ 1 cây thôi!												
101		yintong		Gần đây ngươi đi du ngoạn? Có phải là quên em gái ta rồi. Đến đây thử Xà Hạt Nhuyễn Cốt Cao do ta làm, thứ này bổ tim phổi, anh của ta cũng ít khi được uống.												
102		diepiaopiao		Mấy năm trước ta vì nóng lòng lên Võ Đang đấu võ mà quen được Chung Chí Minh người quan trọng nhất đời ta. Chuyện nhân quả ai có thể nói trước?												
103		guanwanshan		Rừng núi hoang vu này muốn bắt vài con gà rừng cũng mất nửa ngày, tội gì chúng ta lại đến đây!												
104		shoumentongzi1		Đã lâu không gặp. Hôm nay đến thăm anh em họ Ân à, thăm hỏi cần gì mang quà cáp.												
105		yucangfeng1		Làm người, có những chuyện phải chôn kín trong lòng không biết thổ lộ cùng ai...												
106		baiqidizi		Lúc vừa gia nhập giáo ta có quen một người tên A Ngai. Ta rất nhớ nụ cười ngây thơ của hắn, không biết giờ hắn ở đâu.												
107		guyanran		Ngươi có nghe qua câu nghe nhầm đồn bậy không? Trong mắt thiên hạ Ngũ Độc Giáo là tà giáo, nhưng đệ tử trong giáo đều là người có nhiệt huyết muốn tạo phúc muôn dân.												
108		lansonglin		Mọi người đều tránh xa rắn rết, ta lại thấy chúng đáng yêu đấy chứ!												
109		hongqidizi		Hồng Kỳ Kỳ Chủ trong Ngũ Độc Giáo có cống hiến lớn nhất và địa vị cao nhất, phần thưởng hạng tiểu tốt như ta nhận được thì sao sánh bằng.												
110		gaibangwushi		Đại lễ cúng tế của Cái Bang sắp cử hành, người đến dự phải báo tên môn phái và sư phụ. Có mang lễ vật thì đăng ký tại Cái Bang nghi trượng.												
111		tianwangwushi		Hãy trả lời ám hiệu của hôm nay! Không biết ám hiệu sao? Còn không mau rời khỏi!												
112		shoutaidizi		Tuy ta chỉ là người học võ nhưng cũng hiểu được đạo lý nước nhà, cho dù một tên tiểu tốt cũng có tác dụng của nó.												
113		xieyutian		Mọi người bảo ta trầm tư ít nói thực ra cũng tại thời thế loạn lạc. Chưởng môn Thu Thạch có ơn với ta, ta nhất định phải giúp ông ta lấy lại thanh thế.												
114		huanghengzi		Con người luôn nghĩ đến việc phải đạt được gì đó mà không nghĩ đến chuyện phải trả giá.												
115		yuxuzi		Đường đời phóng khoáng là khát vọng vươn tới cũng là nỗi sợ hãi của ta.												
116		feiguangzi		Mẹ muốn tôi về nhà tiếp quản công việc tiệm rèn nhưng nơi này đang cần tôi. Sao có thể bỏ đi được?												
117		longjiaotian		Đại trượng phu hành sự theo lẽ công bằng, đừng câu nệ tiểu tiết												
118		juechenzi		Người đời cho rằng ta phi thường, hiện giờ ta chỉ quan tâm 2 việc là quốc gia lâm nguy và trình độ kiếm pháp của ta.												
119		bashanzi		Dù ta có mạnh thế nào cũng không thể chi phối sự thay đổi triều đại.												
120		piaopingjianke		Hôm nay có ai muốn bày tỏ chuyện bất Bình rỗng?												
121		qiushixiansheng		Trong giang hồ có nhiều lời đồn đại về ta, nhưng Thán Tức Lão Nhân đã nhờ ta nắm đại cuộc Côn Lôn, ta nhất định sẽ chẩn chỉnh lại Côn Lôn.												
122		gongyangtai		Trông vị thiếu hiệp này thân nhẹ như chim, bước chân chắc chắn nhất định võ công rất tài giỏi, e rằng ta cũng không phải đối thủ của ngươi.												
123		lijingwu		Trông mặt thiếu hiệp này có vẻ mệt mỏi để ta kể chuyện cười giúp ngươi giải khuây.												
124		xunshandizi		Đi tuần ở nơi núi rừng hoang vu này luôn phải lẩm bẩm một mình, nếu không sau này muốn nói chuyện cũng khó.												
125		shouguanwushi		Địa hình hiểm trở chỉ cần một người gác cổng thôi.												
126		lishengyang		Những kẻ nịnh hót bên cạnh ta đều có mục đích riêng, còn những người đề xuất ý kiến và phê bình ta thì rất ít.												
127		weichangfeng		Hàn phong trường mạc mac, ngọ hậu chinh tứ phương. Quý quý giai li thương, ngạo tuyết độc phi dương.												
128		yipintangtiewei		Ngươi đến đây có việc gì? Mau cho biết tên để ta vào trình báo.												
129		yipintangwushi		Ngươi chả phải vị thiếu hiệp danh tiếng lẫy lừng đây sao? Ta có thể giúp được gì?												
130		youletian		Mỗi làng mạc và thành thị ngươi đi qua đôi khi phải trả giá bằng thời gian và mạng sống cho nên phải học cách bảo vệ bản thân.												
131		taoyongchang		Có chuyện gì cần nhờ thì cứ nói thẳng.												
132		yiyezhenren		Người trên thế gian ai cũng có tình cảm và lý trí.												
133		tianlongmenchuanren		Ta vốn là một nông dân tình cờ được trưởng lão Thiên Long Môn thu nhận và cho tiền ta thu xếp cho bố mẹ. Đây là phước của ta.												
134		ditangdaotouling		Có lẽ các ngươi chỉ thấy nét đẹp của sự tấn công mà không thấu hiểu nỗi đau ẩn sau nó.												
135		shenmilaozhe		Ngươi có tìm nhầm người không? Ta chỉ là ông lão hái rau trong núi, tìm ta có việc gì? 												
136		kongwudashi		Chúng ta luôn cho rằng những thứ chưa có được là tốt đẹp, đó là vì ta có quá ít thời gian để hiểu nó. Nếu có ngày ta tìm hiểu kỹ sẽ phát hiện nó không tốt đẹp như ta nghĩ đâu.												
137		wangchongyang1		Công phu kiếm học Võ Đang là trong hữu hình theo đuổi vô hình.												
138		zhikeseng		Ngôi chùa cổ này rất kỳ lạ, nếu thí chủ đến thắp hương thì hôm khác hãy quay lại, chỉ cần có lòng thành thì Phật tổ sẽ phù hộ.												
139		xuanci		Người sống trên đời như thân trong bụi gai, không động đậy sẽ không bị thương nếu động đậy sẽ phải hứng chịu nỗi đau của thế gian.												
140		xuanku		Đại bi vô lệ, đại ngộ vô ngôn, đại tiếu vô thanh.												
141		chenghui1		Vốn dĩ hư vô sao có thể vướng bụi trần.												
142		chengguang		Bồi dưỡng một người cần rất nhiều thời gian, hủy hoại thanh danh một người chỉ trong phút chốc, mong thí chủ ăn nói cẩn thận khi hành tẩu giang hồ.												
143		huchedizi		Trên xe này chứa toàn trái cà ngươi muốn mở ra xem không?												
144		jimin		Con gà nướng hồi tháng trước mốc rồi, ta đã quăng cho chó ăn. Bây giờ nghĩ lại thật là tiếc!												
145		zhenghao		Tên tốt chưa chắc là người tốt nhưng ta lại là người tốt đó!												
146		zhuzili		Gia đình đông anh em mà ta lại là con thứ nên cha mẹ thường không chú ý đến ta, ngay cả việc đặt tên cũng nhắc nhở ta phải tự lực cánh sinh.												
147		haoweisuo		Là người nổi tiếng không nên tỏ ra giả tạo.												
148		wanyanzongqin		Sự cống hiến của gia tộc Hoàn Nhan đối với Đại Kim Quốc là không cần bàn cãi, ngươi từng nghe gia tộc đó chưa?												
149		wanyanshi		Lúc nhỏ ta bị phụ hoàng phạt kéo cung 1000 lần. Nhưng giờ nghĩ lại ta phải cảm ơn ông ấy.												
150		lishier		Đã quên rồi, hoa bèn nở rộ, nước sông yên ả.												
151		wusa		Sự đấu tranh trong giang hồ cũng vì danh lợi, cuối cùng chỉ là uổng công! Cuộc sống bình dị mới thiết thực.												
152		xuanzilaoyuzu		Người ta canh giữ đều là trọng phạm, đừng hòng hối lộ ta.												
153		ninglizhou		Chúng ta có thể bị đánh bại chứ không thể đánh đổ, ngươi có hiểu không? Bỏ đi, ít ai có thể hiểu ta.												
154		yelvchou1		Dưới Hoàng Lăng Kim Quốc có nhiều cấm địa, ngươi không nên đến đó.												
155		yuyi		Tù nhân phạm tội thì phải trả giá, còn trị bệnh là trách nhiệm của ta.												
156		tianzilaoyuzu		Lúc nhỏ ta có tật hay dùng nhánh cây viết trên đất mà không dùng bút lông viết trên giấy. Chính vì chuyện học hành không tốt nên đến giờ vẫn còn là tên cai ngục.												
157		dizilaoyuzu		Ta canh giữ ở đây đã mười mấy năm, vài năm trước đây đa số là phạm nhân cướp của giết người nhưng giờ lại có thêm một số phạm nhân mặt thư sinh nho nhã, thật khó hiểu.												
158		wanyanxiang		Hoàn Nhan Tương ta chinh chiến cả đời, có được địa vị hôm nay là dựa vào bản lĩnh thật sự.												
159		tiefutugaoshou		Võ sĩ thi nhau giết người là những tên khốn không biết đạo lý võ học, võ sĩ chân chính không làm thế.												
160		tianmudaozhang		Đạo là phép thuật vô biên. Ta nghe nói trên Võ Đang có một đạo nhân cốt cách phi phàm có thể lấy vật trên không, ta rất muốn xem thử.												
161		zhishishitai		Trong lòng thí chủ có chuyện buồn phiền sao. Hãy quên nó đi để lòng thanh thản.												
162		lingruoxu		Này con trai, thời gian là vàng lúc còn trẻ thì phải cố gắng, đừng để đến già phải hối hận.												
163		menfangdabo		Ở Cửu Lão Phong có môn phái tên là Nga My. Đệ tử trên đó đều là những con nương xing đẹp, tính tình hiền lành.												
164		huofangdaniang		Chồng ta là Môn Phòng Đại Bá, mỗi ngày đều thích ngắm nhìn các cô gái xinh đẹp, nhưng đừng nói ông ấy, ta cũng thích các cô gái đó.												
165		peidununi		Nhân chi sơ, tính bổn thiện… mỗi ngày nghe tiểu thư học bài ta có thể học được vài câu.												
166		ruyi		Của hồi môn của ta đều do tiểu thư tặng cho, bọn Cường Đạo đáng chết đúng là không bằng loài cầm thú. Hu hu…												
167		shiweitongling		Ta đang mang trọng trách không rãnh nói giỡn với ngươi.												
168		wuxi1		Đời người ngắn ngủi…Cừu Tuyết cô nương tính tình thẳng thắn, dám yêu dám hận ta rất thích, ta nhất định sẽ giết mấy tên Kim cẩu báo thù cho cô ấy.												
169		chouxue		Mấy con cá dưới thác Cửu Lão Phong rất đẹp lúc ngủ cũng mở mắt, không cần tình yêu cũng không bao giờ khóc, từ nay chúng sẽ là tấm gương để ta noi theo.												
170		jiminliupin		Con gà nướng hồi tháng trước mốc rồi, ta đã quăng cho chó ăn. Bây giờ nghĩ lại thật là tiếc!												
171		dongfangxunwei		Khi xưa giờ này là ta đã ngủ rất say, nhưng giờ không như xưa chỉ một chút sơ hở thì nguy hiểm sẽ ập đến.												
172		nanfangxunwei		Phía bắc là hướng quê nhà ta!												
173		xifangxunwei		Ta mỗi ngày đều đón bình minh!												
174		xunwei		Gần đây không có gì khác thường nhưng số lần tuần tra tăng rõ rệt.												
175		louyiguan		Ngươi sẽ tiếp xúc với đủ loại người khi hành tẩu giang hồ, hãy học cách tiếp nhận và khoan dung, đó chính là giang hồ.												
176		yalaotou		Á…												
177		qingbaofangdizi		Gần đây nhiều việc hét đến giọng khan cả rồi. Ta phải đi làm ít nước lười ươi uống mới được.												
178		chujie		Nhiệm vụ mà Bang Chủ Dương Thiết Tâm tiếp nhận rất quan trọng, ta nhất định sẽ giúp hết sức mình, nếu ai làm dao động lòng quân thì ta sẽ không bỏ qua.												
179		baipu		Hôm nay nếu chúng ta có tử trận thì cũng vì bảo vệ cha mẹ, con cái, người yêu của chúng ta.												
180		jishubanmenxiadizi		Quý tổng quản đã nhiều năm dốc sức cho bang, đối xử với ta như cha đẻ.												
181		jihou		Con ta bản tính ham chơi có dạy thế nào cũng không sửa được tính xấu đó, ta lo rằng sau này nó sẽ gây nên tai họa.												
182		xiongting		Ta xem Cầu Chỉ Thủy như là đại ca của mình! Kẻ nào bất nghĩa với huynh ấy thì ta sẽ không bỏ qua!												
183		luxiaolan		Cha mẹ đặt tên ta như tên con gái dù ta rất hiếu động. Sở thích lớn nhất của ta là cùng người khác đấu võ, quanh đây 10 dặm không ai đánh thắng được ta.												
184		huosi		Trận chiến Thái Thạch Cơ năm xưa Cái Bang tổn thất rất nghiệm trọng, những người lấy thân báo quốc có kể cũng không hết.												
185		yingjiuwen		Ngươi thuộc phái nào, đến đây có chuyện gì? Không phải đến vì đại lễ cúng tế của Cái Bang sao?												
186		huashi		Giang sơn như tranh! Chẳng lẽ 10 năm sau chỉ tìm thấy được trên tranh vẽ! Không biết bức tranh của ta có thức tỉnh được mọi người hay không?												
187		hanposhan		Mọi người đều gọi ta là Quỷ Diện Thánh Quân, bởi vì ta rất lạnh lùng và rất phóng khoáng.												
188		murongxiangjun		Mộ Dung gia của ta là một gia tộc lớn, tiếc rằng ta là phận nữ nhi không được học nhiều võ công.												
189		wangerchu		Giang sơn Đại Tống tươi đẹp, người dân phương Bắc đang chờ chúng ta, vợ ta vẫn đang ở phương Bắc, bây giờ dưới sự thống trị của Kim Quốc không biết họ sống thế nào?												
190		mengkecunzhang		Hôm nay ta nghe có tiếng phụ nữ hát văng vẳng trong đêm, chẳng lẽ tai ta già rồi không còn dùng được nữa?												
191		mengkecunmin		Từ khi bọn người của Ngũ Độc Giáo ẩn trong thôn của ta, thì thôn xảy ra tai họa liên tục, nếu không phải do bọn họ gây ra thì phong thủy ở đây có vấn đề!												
192		qisi		Lần trước tế tổ trong thôn ta không đi, mấy vị ca ca trong nhà nhất định mắng ta rất dữ dội! Năm nay nói thế nào cũng phải đi, bằng không sau khi xuống mồ không được vào từ đường!												
193		muronglaoba		Tên ta là Mộ Dung Từ Minh, không biết từ lúc nào mọi người gọi ta là Lão Bát. Đừng có xem thường ta, Lão Bát ta thay bằng hữu hành hiệp trượng nghĩa!												
194		xuebaice		Người ta sau khi chết đi còn lưu lại gì đó cho người đời đúng không, ta đang suy nghĩ phải làm gì đó để đời?												
195		yinpopo		Người già rồi, trong đầu toàn lưu giữ những hồi ức và kỷ niệm, cảnh tượng lần đầu gặp hắn đến nay ta còn nhớ rất rõ!												
196		youqingsu		Ngươi hành hiệp trượng nghĩa trong giang hồ ta đã nghe từ lâu, ngươi biết Lư Tiếu Bần của Ngũ Độc Giáo không?												
197		fangduo		Ta vốn dĩ chỉ muốn làm một tên vô danh tiểu tốt, kiếm tý tiền, thành gia lập…không ngờ lại trở thành đại hiệp!												
198		xunyeren		Ngươi có thấy ta sẽ bị chìm trong bóng đêm không? Không! Ta là một người rất xuất sắc, như con đom đóm trong đêm, cũng có lúc ta ghét ánh hào quang của ta!												
199		tanxilaoren		Chẳng lẽ chính nghĩa lại thua cường bạo, công lý có thua cường quyền không?												
200		susu		Hôm qua học được bài hát của người Hán, giai điệu rất hay, tiếc là không thể hát trước mặt người khác!												
201		yerenxiaoyuanyou		Đừng sợ! Ta có hại ngươi đâu…đã từ lâu ta không tiếp xúc với bên ngoài, không biết Tần Hán Ngụy Tấn, nghe nói kinh thành Tống Triều sắp dời đến Lâm An?												
202		yerenyingzixiu		A! Có người! Đại ca! Ở đây có một người rất ngốc!												
203		xuanbei		Không ai muốn vì tranh chấp nhỏ mà xa cách bằng hữu, cũng không muốn vì oán hận nhỏ mà quên đại ân.												
204		chengqian		Có lúc con người vì ý nghĩ nực cười mà bất chấp tất cả, cuối cùng lại về không!												
205		liaofan		Ta không tin thề thốt, nhưng ta chấp nhận. Ta không tin có tình yêu vĩnh hằng, nhưng vẫn chấp nhận!												
206		baishizhetongling		Nơi này ngươi không muốn đến, nhưng lại đến được đây. Đó là sứ mệnh của thầy, nhưng là đệ tử phải từ bỏ tất cả, làm lại từ đầu!												
207		luxiaoran		Ta từng gặp qua nhiều người trẻ hám danh lợi, nhưng ngươi thì khác.												
208		zhongzhiming		Từ xưa đến nay, người hành hiệp luôn có kiếm bên mình. Kiếm là binh khí có phong thái uy nghiêm quân tử!												
209		linghezhenren		Kiếm thắng người, người dựa vào kiếm; Người thắng kiếm, kiếm dựa vào người.												
210		shenmijinren		Ngươi thấy ta là người ở đâu, nghe giọng của ta giống ở vùng nào không? Ta không nói cho ngươi biết đâu!												
211		dongxuzhenren		Ta là đệ tử của Lữ Động Tân. Danh lợi chỉ là vật ngoài thân, không làm chuyện xấu hổ với lương tâm!												
212		longxiaoxiao		Người có mưu đồ bất chính, hậu hoạn không lường. Người quá nhúng nhường hoặc tự phụ không thể thành tài được!												
213		xizuotongling		Mỗi ngày ngươi đều có cơ hội gặp nhiều người, ta hy vọng ngươi sẽ quên ta. Không vì sao cả...												
214		luoyixia		Mỗi ngày ngươi đều có cơ hội gặp nhiều người, ngươi không biết gì về họ, nhưng rồi họ sẽ là tri kỷ là bạn của ngươi. Biệt danh của ta là "vui một tý", ta tên Lạc Nhất Hạ.												
215		yingjiuwendetudi		Khi ta bái sư học võ đã qua 9 cửa ải thử thách, mỗi ngày tiếp nhận 9 vấn đề của sư phụ, không biết sau này có phúc cưới 9 thê tử không?												
216		shouwei		Là người của ta phải không? Lần trước để gian tế lọt vào, ta bị quản gia trừ hết nửa năm tiền công, làm tên tiểu tốt sao mà khó thế!												
217		yueyingshaqiu		Nghe giọng biết ngươi là người xứ khác, ngươi ăn uống ở đây có quen không? Ở đây vốn là chốn bồng lai tiên cảnh, bây giờ bị bọn xâm lược phá tan tành, cảnh đẹp đã hóa thành mây khói.												
218		wangfujiang		Tình huynh đệ: sống chết có nhau; hoạn nạn cùng chia.												
219		yelvchucai		Trong lòng thanh tịnh, không còn ham muốn thế tục.												
220		puchafengnu		Ta gia nhập Thiên Nhẫn còn sớm hơn giáo chủ, lập được nhiều chiến công hiển hách, bây giờ không còn thực quyền, nếu không còn việc gì mời ngươi đi cho.												
221		jingluanshi		Chiến tranh liên miên đã để lại ký ức không thể xóa mờ trong đầu những đứa trẻ vô tội, Kim Quốc luôn là phái chủ chiến, mỗi tối ta đều đọc kinh văn, hy vọng người dân của ta bớt được khổ nạn.												
222		rongtu		Ta vốn là người Tống Quốc, vì Thiên Nhẫn Giáo có ơn với ta nên ở lại đây cống hiến cho bổn giáo.												
223		wuxinshitai		Không nên chấp trước, ngươi có chắc vài năm sau vẫn như vậy không?												
224		liyuankai		Hôm nay nếu có chết trên chiến trường thì cũng chết thật vinh quang.												
225		fucong		Ai cũng nói ta thông minh giống cái tên của ta. Ta cảm thấy có vài chuyện hơi mơ hồ.												
226		wunianshitai		Một cây ra 5 hoa, 5 hoa có 8 lá, Nga My trăng sáng chói, chiếu rọi khắp mọi nơi.												
227		qianchongguang		Hãy giấu tình cảm vào tận đáy lòng, làm cho mình bận rộn!												
228		lingfengyan		Đệ tử Nga My đều là nữ nhưng không hề thua kém nam nhi! Nước nhà hưng vong, Nga My không thể khoanh tay làm ngơ!												
229		shinvchuping		6 tuổi nô gia đã đi theo tiểu thơ, tiểu thơ xem tôi như chị em, hơn 10 năm nay chưa từng trách mắng nô gia, tôi muốn suốt đời theo hầu.												
230		tangque		10 năm nay, võ lâm chánh đạo, dân tộc đại nghĩa, không quan tâm người của Đường Môn, bọn họ chỉ sống trong thế giới riêng. Không muốn kết giao với danh môn chính phái và cũng xem thường bọn tà ma yêu đạo. Nhưng bây giờ tình thế cấp bách, không thể không dung nạp hiền tài của môn phái ta!												
231		tangxiao		Thiên hạ có 10, riêng ta chiếm 8 phần, Đường Ngộ 1 phần, còn lại 1 phần!												
232		yinyie		Những năm tháng loạn lạc làm mất tính tự cao, hổ thẹn quá...giang sơn xã tắc chỉ còn biết trông cậy người trẻ tuổi!												
233		xiabingchen		Ta đã yêu một người, làm sao đây? Rất đau khổ! Nhưng ta lại muốn nếm nỗi đau này!												
234		tangyu		Dường như ta là người thừa! Dù ta biến mất cũng không ai để ý? Nhưng ta rất muốn sống, vì Đường Gia Bảo vì bản thân ta!												
235		tangfei		Đường Gia Bảo sừng sững 100 năm không đổ ắt có cái phi phàm của nó, ta thấy ngươi bản lĩnh không phải loại tầm thường, nói không chừng có thể tiếp 3 chiêu của ta.												
236		tangwu		Tuy tên của ta có chữ Võ, nhưng võ công của ta kém nhất trong các sư huynh đệ đồng môn, ta chỉ thích nấu ăn, được nấu những món ngon cho sư huynh đệ là việc ta tâm đắc nhất, môn chủ cũng khen tài nghệ của ta!												
237		tangchonglou		Võ học Đường Môn chia làm 2 loại tụ tiễn và cạm bẫy, chú trọng linh hoạt nhanh nhẹn nhưng cần phải có nội công vững mạnh, sức mạnh của 2 loại võ công này ngang nhau.												
238		tangchonglan		Trong mấy người quản gia của Đường Môn ta thích nhất là Đường Ngộ, tuy không phải là đứa con được môn chủ tin tưởng nhất nhưng là người làm việc cẩn trọng nhất, nhưng mọi người đều xem nhẹ những ưu điểm của hắn.												
239		tangru		Ta là tổng quản võ thuật Đường Môn! Nếu là đến khiêu chiến thì xin về cho, gần đây ta rất bận!												
240		tanghe		Ta là Đường Hạc một trong tứ lão của Đường gia. Hậu sinh đều là nhân tài. Riêng người trẻ tuổi ta không chắc chắn có chiến thắng không, nhưng ta khuyên người trẻ tuổi một câu: Làm người không nên quá hung hăng.												
241		tangjunrong		Ngươi đến Đường Gia Bảo rồi hả, rất lâu rồi ta không đi đến đó, nơi đó luôn ở mãi trong tim ta.												
242		yinyouyu		Nhiều năm trước, Thúy Yên Môn gặp đại nạn. Ta đảm đương trọng trách tập hợp Thúy Yên Môn, ngươi sẽ giúp ta chứ?												
243		rourou		Thử hỏi cánh hoa bay về đâu, nhưng nhìn thấy cánh hoa trôi theo dòng chảy. Tình yêu đẹp và hạnh phúc cũng giống như cánh hoa mỏng manh này……												
244		yanqiaoyun		Mọi người đều gọi ta là Toàn Thiên Yến Tử! Phụ thân ta từng là ngự y của đại Tống, bây giờ ông không còn nữa, ta đã học được y thuật cơ bản, sau này nếu có việc cần đến ta thì cứ nói.												
245		danbixiu		Thúy Yên Môn khao khát anh hùng hiệp nghĩa, gần đây không ít đệ tử nam gia nhập, thực lực của chúng ta tăng lên, tin rằng sẽ không phạm sai lầm như trước đây!												
246		cuiyanmendizi		Võ công Thúy Yên Môn kỳ diệu vô cùng, chia làm hai loại đao và kiếm! Ta muốn học đao; Mà cũng muốn học kiếm. Làm thế nào đây?												
247		yanbeitian		Ta là người Hán, đem văn hóa dân tộc Hán đến đây và học hỏi sự dũng mãnh của người theo đạo Tát Mãn Giáo, Tát Mãn Giáo là thánh địa không cho phép kẻ tâm địa bất chính xâm phạm!												
248		rongjiaojiao		Nhìn thấy các tỷ muội đều quay về, ta thật vui mừng! Thực lực của Thúy Yên ta không thể coi thường!												
249		zhugezhuoyun		Mỗi ngày ta đều cố gắng kiềm chế tài năng và tinh hoa, nhưng đã là vàng thì luôn tỏa sáng!												
